ab-a	 desire
gun-ušini	 warrior
hai-u-	 bring, steal, loot, carry / lead away
halul-i/e	 ceremony
hara-ri	 prosperity
har-e	 path, expedition
harhar-šu-	 destroy
haš-ia-	 give ear to (better, be interested in)
haš-u-	 hear, obey, listen
hin-i	 son (better, family-member)
h(a)-u-	 (for someone else): bring, steal, loot, carry / lead away
hub-i	 valley
(LÚ)hur-adi	 warrior, army
hur-išhi	 irrigator
huš-u	 throw (out)
hut-ia-	 ask, beg, pray
huTutu-hi	 (?) cf. the divine epithet HuT-uini, [the invoked one (?)]
iar-ani	 kind of cultic building (better, altar)
ibir-ani	 whole, complete, full
ie-še	 I (ergative)
ikuka-bini	 that (one)
ikuka-ni/e	 that (one)
in-a	 therein
in-ahini	 this (one)
in-ani	 from this / here
in-ani	 this (one)
in-i	 this
iph-u-	 break
ipt-u-	 hide, conceal
irb-u-	 take away, grab
(LÚ)ir-di	 governor
ir-idu-	 exchange
iS-i	 irrigation canal
iš-ani	 from that / there
išpui-še	 luck
išpui-u-	 be lucky
iš-ti-	 leave
iš-tine	 toward, for (postposition)
iš-tini	 there
iš-tinini	 from there
iu	 when (subordinate clause)
izid-u-	 command, admonish
izid-uše	 command, provision
ka(i)-(ni)	 in front of
ka(i)-uki/e	 in front of me ('my face[?]')
kan-i	 in front of
kap-i	 measure of capacity
kar-u-	 conquer
ki/a-danu-	 send, send off
kiri	 cup, dish
kub-uše	 helmet
kui/e	 certainly (particle of asseveration)
ku-iu-	 set up, build (better, 'cut for one's self[?]')
kul-me	 prosperity, wealth
kul-u-	 let, leave, let loose, neglect, throw away (better, 'cut off[?]')
kul-uarši-	 run (away), flee
kuri	 foot[?]
kur-uni/e	 powerful, high (mountain)
kuš-u-	 process, till
kuT-ia-	 go after, reach towards
kuT-u-	 go as far as, reach
lak-udu-	 damage
(KUR)Lulu(inili)	 enemy (land)
(KUR)Luluiniše	 inimical, enemy
(MÍ)lu-tu	 woman, women
maku-ri	 kind, favorable
mak-ulu-	 shoot (an arrow)
mane	 mina (measure of weight = 505 g)
ma-ni	 he, him
man-ka(-)li	 a kind of oil[?]
man-u-	 be, exist (better, 'wander over')
mari	 horseman
mar-ini	 fortress (better, 'cavalry outpost'[?])
ma-si/e	 his
me(i)	 prohibitive particle; however
mep-u-	 bury
meš-e	 tribute (better, 'booty')
(ÍD)mun-a	 river[?]
mur-i	 secret treasury[?] (better, '[treasury-]room')
muS-i	 true
nah-a-	 come, ascend
nah-u-	 bring, carry / bring away to
nap-ahia	 bondage, domestication
nar-ani	 people
nar-u	 people
niki-du-	 water
nip-sidu-	 slaughter
niribe	 cattle, herd
nu-a-	 become, happen
nul-du-	 overpower, rule
nun-a-	 come
(GUD)pah-i/ani/e	 beef-cattle
par-i/e	 all the way to
par-u-	 take / drive away (better, 'cause to cross over')
pat-ari/e	 city (better, 'collection of tents')
pil-i/e	 canal
pi/e	 under
pi/eni/e	 from under
piS-uše	 joy
piS-ušini	 joyful
pit-u-	 beat apart, destroy
(NA4)pul-usi/e	 stele, inscription
qabqa-ru-	 conquer, seize, empower one's self
qabqa-šu-	 conquer, seize, empower one's self
(NA4)qarbi/e	 rock
qarmehi	 celebration, feast
qarqar-ani	 armor
qi(u)ra	 earth
qul-dini/e	 uncultivated, wild, desolate
salm-athi	 left
sal-zi	 steep, abrupt
(LÚ)sie(se?)	 priest
(MÍ)sil-e	 daughter
silu-a-	 be favorable to
silu-nini	 inclined to
suid-u-	 throw out, throw back (enemy)
sulu-šti-	 bow deeply
susi/e	 kind of chapel
suT/du-qu-	 tear off, separate, rip loose
Si/e	 in (postposition)
Sirab-ae	 unoccupied
Sue	 lake (probably better, 'water-hole')
Sui-nišini	 well-provided with lakes
Su-iniše	 'water-availability'
šal-i	 year
šan-i	 container
šat-u-	 take (along), grab,
seize power	 appropriate, grab onto, take a place
šaue/i	 regent, administrator
šeh-i/eri/e	 living
še(i)r(i)-du-	 divide, cut off, hide
šepu-iaru-	 spoil
šer-i-	 separated, for one's self
ši-a-	 go, go away, come away to
šid-iš(i)tu-	 build, erect
šid-u-	 cultivate, prepare
ši-edue	 flowing out of, coming out of
šiš-tini	 for the third time[?]
šiš-uhani	 anew[?], again[?]
ši-u-	 bring, lead / carry away
š-u-	 set up, institute, order, create, found
š-uhi/e	 arrangement, order
šu-ia-	 inimical
šu-ini	 everything, complete
šuki	 as[?], than[?]
šuku-ri	 summoned, invited
šul-i/e	 uncultivated, unworked, fallow
(GIŠ)šur-(g)i/e(ni)	 weapon
(KUR)šu-ri/e	 universe, world, empire, kingdom
šur-ishi	 horse-stable[?]
šus-ini	 single
(UDU)šuše	 small horned cattle (better, 'horse')
tam-hu-	 separate, eliminate
tan-u-	 do, make, create, found
tara-(g)e/i	 powerful, strong
tara-iuhi	 powerful, strong
tar(a)man-e/i/eli	 blockhouse[?], well
tar-ani	 for the second time
tar-gini	 powerful, strong
(LÚ)taršu-a(ni/e)	 human[?] (better, 'hero = darer')
(LÚ)taršu-atuhi	 manliness, courage, heroism
ta-še	 gift
taš-mu-	 capture
(LÚ)taš-muše	 prisoner
(LÚ)ta-(ú)-tú-hi	 abbreviation[?] for (LÚ)taršuatuhi
teq-u-	 throw down
tera(g)i/e	 laid down, set in place, set up
ter-du-	 lay, stand (up), erect
te-ru-	 lay, place, set up, determine, lay on, sow
ti-au-	 say, speak
ti-ni	 name
tiš-ni/u	 heart
tuag-i/e	 clean
tur-u-	 beat apart, destroy, eradicate
Ti/er-usi	 measure for liquid, probably 1/10th of an aqarqi
Tubardu-	 transfer, hand over
ubar-aduia	 command
ubar-dudu-	 command
ued-iadu-	 castrate, cut up
(LÚ) or (MÍ)ued-ia(ni)	 female
uel-i	 assembly
uel-idu-	 assemble
(LÚ)uel-isine	 assembled people, assembly, militia
ui/e	 not
-uki	 my
ul-a-	 go (around)
(GIŠ)ul-di/e	 ('terraced[?]') vineyard
ulg-uše	 life
ulh-u-	 order (better, 'choose')
ul-i/e	 other
(ANŠE)ultu	 camel
ul-u-	 lead (around)
ul-uštia-	 scout
ur-išhi	 weapon
ur-išhusi/e	 armory
urp-u-	 sacrifice
urp-ue	 offering
uš-gi	 strength
ušh-anu-	 award, bestow, feel affection for
ušm-aše	 power, strength
uš-ta-	 decamp, proceed to, get underway
uš-tipte	 expedition
uš-tu-	 present, bestow, dedicate
zad-u-	 do, make, undergo, create
zad-uše	 execution
zainua	 high, over
(GIŠ)zar-i/e	 orchard
zaš-e	 strength
zaš-gu-	 kill, strike dead, eradicate
zaš-ili	 powerful, strong, numerous
zaš-u-	 strengthen, increase
ziel-di/e-	 press, push, subject, oppress
ziel-du-	 press, push, subject, oppress
zil(i)bi/e	 seed, progeny
